Location,Category,Item_ID,Parent_ID,Name,Type,UOM,Unit_Rate_USD,Labor_Rate_USD,Material_Rate_USD,CSI_Title
"Lane County, Oregon",Electrical > Interior Lighting > Track Lighting,8ce4c426-2168-4fb9-a0c4-78d1a9b96e92,N/A (Root),1' 3-Light Black/Brass Integrated LED Fixed Track Lighting Kit Light Fixture,MATERIAL,EA,217.66,58.83,124.31,Interior Lighting
"Lane County, Oregon",Electrical > Interior Lighting > Track Lighting,b2336b44-6a46-47a8-920d-aa85cea89e30,N/A (Root),1' 3-Light Integrated LED Fixed Track Lighting Kit Light Fixture,MATERIAL,EA,180.71,58.83,62.4,Interior Lighting
"Lane County, Oregon",Electrical > Interior Lighting > Recessed Lighting,cfa2b25f-83ad-48e9-bb07-07a90a8fdac2,N/A (Root),1' 320 Watt Integrated LED Dimmable UFO High Bay Light 5000K Light Fixture,MATERIAL,EA,540.24,58.83,148.99,Interior Lighting
"Lane County, Oregon",Electrical > Interior Lighting > Recessed Lighting,b558c831-c985-4b5f-97cc-aa952677e49f,N/A (Root),1' 460 Watt Integrated LED Dimmable UFO High Bay-Light Fixture 4000K Light Fixture,MATERIAL,EA,611.24,58.83,219.99,Interior Lighting
"Lane County, Oregon",Framing > Rough Carpentry > Exterior Lumber and Decks,bc3fe96d-8956-48d9-a13f-aaedf7ba5653,N/A (Root),1' X 024' Interlocking Composite Deck Tile,MATERIAL,EA,6.33,37.33,4.84,Wood Framing
"Lane County, Oregon",Electrical > Interior Lighting > Commercial Lighting,f3d334fa-5343-4e7e-89db-75e6a999066e,N/A (Root),1' X 1' 10 Watt 800 Lumens Dimmable Integrated LED Edge-Lit Flat Panel Flush Mount-Light Changing Light Fixture,MATERIAL,EA,433.72,58.83,42.47,Interior Lighting
"Lane County, Oregon",Framing > Rough Carpentry > Exterior Lumber and Decks,af8eaa29-09ff-4f78-af01-13d405cc7e41,N/A (Root),1' X 1' Outdoor Composite Deck Tile,MATERIAL,SF,8.35,37.33,6.86,Wood Framing
"Lane County, Oregon",Electrical > Interior Lighting > Commercial Lighting,badf8e4d-9aea-46da-ab44-c761575bce51,N/A (Root),1' X 2' 23 Watt 2000 Lumens Dimmable Integrated LED Light Changing,MATERIAL,EA,451.22,58.83,59.97,Interior Lighting
"Lane County, Oregon",Electrical > Interior Lighting > Commercial Lighting,cccb55f2-af34-45b8-b3fb-02866eaa05df,N/A (Root),1' X 4' 2400 Lumens/3300 Lumens/4400 Lumens Integrated LED Flat Panel Light,MATERIAL,EA,528.72,58.83,137.47,Interior Lighting
"Lane County, Oregon",Electrical > Interior Lighting > Commercial Lighting,8e2689d9-bd7c-49a0-8878-ef3710ae42cb,N/A (Root),"1' X 4' 250 Watt Integrated LED Backlit Troffer, 3750 Lumens, 3500K",MATERIAL,EA,324.95,58.83,89.97,Interior Lighting
"Lane County, Oregon",Electrical > Interior Lighting > Commercial Lighting,e94a25e4-6f8f-4f74-9f95-064f2ce4c117,N/A (Root),1' X 4' 50 Watt Dimmable 3800 Lumens Integrated LED Edge-Lit Flat Panel Flush Mount Ceiling Light Fixture,MATERIAL,EA,497.76,58.83,106.51,Interior Lighting
"Lane County, Oregon",Electrical > Interior Lighting > Commercial Lighting,a5e8a51a-c1d1-4f0e-9968-ebad112b50dc,N/A (Root),1' X 4' 5000 Lumens Integrated LED Panel Light 5000K Light Fixture,MATERIAL,EA,470.4,58.83,79.15,Interior Lighting
"Lane County, Oregon",Electrical > Interior Lighting > Commercial Lighting,a8bc8048-b4c1-471e-91ef-976241508ce1,N/A (Root),1' X 4' LED Troffer Panel-Light 2000/2500/3750 Lumens 3500K/4000K/5000K Dimmable,MATERIAL,EA,545.31,58.83,154.06,Interior Lighting
"Lane County, Oregon",Electrical > Switches and Outlets > Motion and Light Sensors,e085a453-3fab-4afa-8922-988c42c9f1a1,N/A (Root),"1,000 Watt LED/Incandescent In-Wall Photocontrol Lighting Sensor",MATERIAL,EA,103.23,58.83,24.98,Low-Voltage Distribution Equipment
"Lane County, Oregon",Electrical > Switches and Outlets > Motion and Light Sensors,de35340d-f2af-4972-bee7-921d040ba281,N/A (Root),"1,000 Watt LED/Incandescent Mount Light Control Photocontrol Lighting Sensor",MATERIAL,EA,95.24,58.83,16.99,Low-Voltage Distribution Equipment
"Lane County, Oregon",Electrical > Switches and Outlets > Motion and Light Sensors,ed1790f9-fc25-411a-8b14-a510988f527b,N/A (Root),"1,000 Watt LED/Incandescent Photocontrol Lighting Sensor",MATERIAL,EA,99.23,58.83,20.98,Low-Voltage Distribution Equipment
"Lane County, Oregon",Electrical > Switches and Outlets > Motion and Light Sensors,d753b64c-eec1-4b40-bb17-9fe5e368c1ba,N/A (Root),"1,000 Watt LED/Incandescent Stem and Swivel Photocontrol Lighting Sensor",MATERIAL,EA,101.23,58.83,22.98,Low-Voltage Distribution Equipment
"Lane County, Oregon",Electrical > Switches and Outlets > Motion and Light Sensors,88804319-b6d3-4c9f-819f-a64a15357db8,N/A (Root),"1,000 Watt LED/Incandescent Stem Mount Photocontrol Lighting Sensor",MATERIAL,EA,99.23,58.83,20.98,Low-Voltage Distribution Equipment
"Lane County, Oregon",Electrical > Wiring > Service Entrance Wires,8e29517d-6048-4656-abb2-61709ad6a6a4,N/A (Root),"1,000' 1/0-1/0-1/0 Stranded Al URD Cable",MATERIAL,LF,5.72,58.83,2.59,Common Work Results for Electrical
"Lane County, Oregon",Electrical > Wiring > Building Wires (NM-B),e96bdd6b-3216-447b-bab7-caf336a83baa,N/A (Root),"1,000' 10/2 Solid CU NM-B W/G Wire",MATERIAL,LF,4.29,58.83,1.16,Common Work Results for Electrical
"Lane County, Oregon",Electrical > Wiring > Building Wires (NM-B),a85ead43-02a2-4548-b8af-7d8f2b076f04,N/A (Root),"1,000' 10/3 Solid CU NM-B W/G Wire",MATERIAL,LF,4.87,58.83,1.74,Common Work Results for Electrical
"Lane County, Oregon",Electrical > Wiring > Building Wires (NM-B),fb516f53-0fbd-455e-b779-653400369f17,N/A (Root),"1,000' 12/3 Solid CU NM-B W/G Wire",MATERIAL,LF,4.18,58.83,1.05,Common Work Results for Electrical
"Lane County, Oregon",Electrical > Wiring > Outdoor Electrical Wires (UF-B),ef811786-5e8c-405b-b32e-655cb02b6813,N/A (Root),"1,000' 12/3 Solid CU UF-B W/G Wire",MATERIAL,LF,4.49,58.83,1.36,Common Work Results for Electrical
"Lane County, Oregon",Electrical > Wiring > Outdoor Electrical Wires (UF-B),d257ca5b-46ab-411e-b7a9-96ab14ee656a,N/A (Root),"1,000' 12/3 Solid CU W/G Wire",MATERIAL,LF,4.32,58.83,1.19,Common Work Results for Electrical
